LineID,Clip,Timestamp-Begin,Timestamp-End,Line,Label 1 (Speaker),Label 2 (Speaker's gender),Label 3 (Target),Label 4 (Emotion),,,
1,1,00:00,00:03,我哋而家打仗喇！嗱，畀大家睇下有幾多人喺呢度。,Fiona,Female,"Audience, dad",Excited,,,
2,1,00:03,00:05,梗係有好嘢先至多人㗎啦。,何爸,Male,Fiona,Proud,,,
3,1,00:19,00:21,呢個喺全港最平嘅街市嚟㗎！,Fiona,Female,Audience,Informative,,,
4,1,00:21,00:25,嘩！好大呀！,何爸,Male,Fiona,Impressed,,,
5,1,00:25,00:28,呢條油斑，呢條黃蠟斑。呢啲係好好食㗎，仲好食過東星㗎！,魚檔（男）,Male,"Fiona, dad",Enthusiastic,,,
6,1,00:29,00:30,嗱，新鮮攞嚟㗎！,魚檔（男）,Male,"Fiona, dad",Confident,,,
7,1,00:31,00:31,嘩！,何爸,Male,Self,Surprised,,,
8,1,00:31,00:32,係呀。,魚檔（男）,Male,何爸,Neutral,,,
9,1,00:32,00:35,嘩，一份份賣㗎呢度，真係抵呀真係。,何爸,Male,Fiona,Amazed,,,
10,1,00:35,00:37,如果係朝頭早返嚟呢，就賣晒㗎喇。,魚檔（男）,Male,何爸,Informative,,,
11,1,00:37,00:40,呢個街市最好嘅呢就係明碼實價。,何爸,Male,Fiona,Satisfied,,,
12,1,00:41,00:44,我哋分咗，40蚊、45蚊、50蚊。,Fiona,Female,Audience,Informative,,,
13,1,00:44,00:48,我哋而家喺個人海迫出去喇。,Fiona,Female,Audience,Neutral,,,
14,1,00:55,00:56,逢星期六,Fiona,Female,Audience,Neutral,,,
15,1,00:56,00:57,Family Day,何爸,Male,Audience,Cheerful,,,
16,1,00:57,00:58,喺未開始之前要呼籲大家,Fiona,Female,Audience,Urgent,,,
17,1,00:58,00:59,訂閱,何爸,Male,Audience,Enthusiastic,,,
18,1,00:59,00:59,點解呢？,Fiona,Female,何爸,Curious,,,
19,1,01:00,01:02,因為你訂閱先有好片睇。唔使錢㗎嘛而家。,何爸,Male,Audience,Persuasive,,,
20,1,01:03,01:08,同埋我哋就快有呢個九萬幾喇而家。咁希望快快到十萬訂閱呢，咁同大家分享一下喜悅喇。,Fiona,Female,Audience,Hopeful,,,
21,1,01:09,01:10,今日我哋嚟到邊度？,Fiona,Female,何爸,Curious,,,
22,1,01:10,01:12,深水埗。今日呢要買海鮮，上去排檔加工。,何爸,Male,Fiona,Informative,,,
23,1,01:15,01:21,上次我哋出一條深水埗食燒味喇，咁好多人都有留言話：「不如你哋拍下深水埗喇」。,Fiona,Female,Audience,Conversational,,,
24,1,01:21,01:29,咁其實呢我哋北河街呢，就被譽為全港最便宜嘅街市。我哋上次其實都有堪探過，咁你嗰時嘅感覺係點呀？,Fiona,Female,何爸,Inquisitive,,,
25,1,01:30,01:37,嘩！原來一到買餸時間呢，海鮮檔全部圍滿㗎。上面熟食中心呢都好旺呀。,何爸,Male,Fiona,Impressed,,,
26,1,01:37,01:39,咁我哋上次係4點鐘呀嘛。,Fiona,Female,何爸,Reminiscent,,,
27,1,01:40,01:40,4點鐘。,何爸,Male,Fiona,Neutral,,,
28,1,01:41,01:48,咁今日就轉換下一個時間，就係11 點鐘。即係朝頭早嘅時間喇。就睇下而家北河街街市，係咪同我哋上次一樣咁人來人往喇。,Fiona,Female,Audience,Narrative,,,
